taskCount;responseTime;userName
0;95;bazzard
16;234;peerybingle
16;213;morfin
16;118;bunsby
39;338;jeremiah
0;405;jeremiah
5;396;bet
5;280;bunsby
5;101;rosa
1;291;artful
40;296;artful
40;310;guster
40;411;bazzard
16;187;mogley
16;230;harmon
16;305;amy
31;299;bounderby
31;353;pidger
60;274;barley
60;174;bazzard
9;247;admin
9;212;morfin
60;182;crimp
60;220;morfin
60;251;morfin
60;209;admin
60;245;pidger
60;216;barley
31;340;jaggers
42;344;gaspard
35;1008;gaspard
35;897;deputy
35;657;gaspard
60;63;parkes
35;551;chivery
35;419;guster
35;487;jeremiah
35;505;harmon
0;248;barley
0;671;crimp
16;248;alphonse
0;311;gabelle
0;91;artful
0;70;traddles
1;114;rosa
1;276;mogley
0;214;bet
0;271;deputy
0;259;alphonse
17;237;wickham
16;253;gaspard
17;160;david
41;267;traddles
43;1364;kitty
43;498;amy
31;322;kitty
31;372;morfin
31;325;wickham
32;1272;alphonse
32;344;rosa
42;466;barley
40;653;sampson
39;302;jaggers
38;118;jaggers
37;306;bunsby
0;69;artful
60;168;bounderby
35;3521;deputy
17;254;pidger
0;73;bunsby
1;284;wickham
1;73;wickham
39;328;peerybingle
39;304;gabelle
17;250;cavalletto
8;763;gabelle
8;276;peerybingle
8;297;david
8;287;bounderby
60;171;artful
60;331;chivery
38;135;bet
37;292;petowker
37;343;petowker
17;267;sampson
17;267;petowker
18;268;jeremiah
18;259;harmon
8;199;chivery
37;318;amy
39;510;traddles
60;177;deputy
8;480;admin
8;228;jaggers
35;576;jeremiah
35;545;petowker
35;486;bounderby
35;531;bounderby
35;2416;bunsby
35;673;peerybingle
1;496;guster
1;1194;peerybingle
1;381;crimp
0;65;pidger
0;247;traddles
0;281;gabelle
0;279;amy
0;66;chivery
0;272;wickham
0;75;petowker
0;258;morfin
4;284;bunsby
0;83;peerybingle
40;331;mogley
39;141;pidger
38;1293;artful
1;208;harmon
0;150;parkes
19;185;bounderby
5;194;jaggers
6;224;bet
6;227;guster
6;268;mogley
6;264;kitty
6;213;harmon
60;1202;harmon
60;255;alphonse
60;253;bunsby
5;194;bounderby
6;391;harmon
0;43;bunsby
6;49;bet
60;219;deputy
6;66;deputy
18;240;deputy
18;208;bazzard
18;221;bunsby
18;125;david
42;429;cavalletto
35;517;jaggers
2;228;sampson
2;243;jeremiah
2;177;amy
10;216;sampson
10;226;jeremiah
10;134;david
1;808;guster
5;180;david
41;301;petowker
0;244;barley
0;244;alphonse
6;266;chivery
6;246;sally
6;227;traddles
20;367;cavalletto
20;221;kitty
19;128;bounderby
4;250;wickham
4;193;gabelle
6;223;chivery
18;207;morfin
18;2581;wickham
18;474;cavalletto
18;240;kitty
18;232;mogley
18;213;sally
18;480;guster
18;231;chivery
4;171;mogley
2;630;artful
1;182;peerybingle
1;178;cavalletto
18;220;david
18;272;alphonse
5;52;sampson
5;343;amy
5;168;bet
5;517;bunsby
5;278;sally
5;268;alphonse
42;578;cavalletto
1;175;cavalletto
1;75;mogley
29;234;david
7;197;bazzard
1;708;amy
61;278;artful
2;244;rosa
5;214;guster
1;59;parkes
0;61;morfin
5;98;amy
5;269;lightwood
5;80;traddles
1;58;bazzard
8;222;bet
9;876;wickham
9;344;crimp
2;224;gabelle
1;301;pidger
0;145;barley
6;193;bet
6;54;gaspard
8;235;amy
44;292;parkes
44;316;jeremiah
35;499;artful
34;434;petowker
34;527;bounderby
35;406;bounderby
36;554;guster
36;498;barley
36;517;jeremiah
36;340;amy
36;660;bunsby
36;1223;chivery
36;822;kitty
36;446;alphonse
35;3310;jaggers
35;509;mogley
34;475;gabelle
36;530;alphonse
18;260;peerybingle
18;251;lightwood
18;231;bounderby
18;242;cavalletto
10;210;wickham
1;228;mogley
1;708;admin
1;181;kitty
11;254;barley
37;563;petowker
38;551;bazzard
38;294;harmon
38;300;jeremiah
61;205;admin
61;61;crimp
11;217;admin
11;207;parkes
11;249;bazzard
36;613;gaspard
36;636;peerybingle
36;398;bounderby
36;633;parkes
4;419;barley
2;181;morfin
78;365;kitty
2;81;rosa
78;705;kitty
2;93;artful
78;259;admin
78;744;bunsby
2;80;jeremiah
2;77;morfin
7;85;traddles
2;180;traddles
1;173;bounderby
0;268;artful
1;336;bet
33;310;peerybingle
5;319;crimp
5;143;jaggers
5;194;peerybingle
37;707;pidger
31;490;sampson
38;512;traddles
3;206;jeremiah
3;171;bunsby
38;314;david
1;216;bazzard
38;309;artful
38;308;gaspard
38;297;gaspard
1;265;bazzard
0;301;peerybingle
3;265;sally
38;189;petowker
38;263;deputy
3;110;jaggers
30;538;bet
30;473;morfin
30;324;alphonse
30;637;wickham
30;1105;bounderby
1;234;petowker
38;287;gaspard
38;306;wickham
31;2869;morfin
31;596;bazzard
31;673;barley
31;519;deputy
1;168;lightwood
1;216;kitty
38;294;harmon
1;274;morfin
38;351;bunsby
1;306;chivery
1;255;gaspard
1;271;kitty
21;168;bet
75;255;gaspard
33;3426;david
1;153;deputy
75;88;mogley
1;101;sally
0;303;parkes
0;85;barley
0;91;lightwood
0;83;david
0;89;barley
0;333;traddles
0;260;jeremiah
1;839;sampson
0;289;gaspard
0;283;wickham
1;166;traddles
76;395;petowker
76;232;jeremiah
76;221;mogley
76;244;sally
7;60;guster
1;32;guster
0;50;chivery
1;35;parkes
38;327;bazzard
5;287;traddles
1;312;rosa
37;292;rosa
76;336;chivery
10;144;bazzard
76;72;wickham
76;207;chivery
76;185;cavalletto
76;202;harmon
75;559;morfin
76;175;deputy
31;509;pidger
31;473;gabelle
33;510;peerybingle
6;984;alphonse
7;423;parkes
7;627;harmon
0;268;harmon
0;303;bounderby
1;404;admin
